Geneid,Cal27_K36me2_WT_2,Cal27_K36me2_WT_1,Cal27_K36me2_NSD1KO_1,Cal27_K36me2_NSD1KO_2
PHLPP1,4108,5820,2928,4292
ATP8B1,1875,2425,1234,1768
ME2,989,1286,764,1012
EPB41L3,504,539,731,183
SEH1L,620,753,615,686
ARHGAP28,388,419,599,182
WDR7,5714,7105,4337,5661
TXNL1,518,730,381,436
CELF4,262,391,406,165
ZNF516,1334,1622,1103,1502
CDH20,970,781,364,99
ADNP2,268,436,266,360
RBFA,0,0,0,0
USP14,939,1503,901,1213
VAPA,934,1796,757,1398
METTL4,874,1285,738,927
LPIN2,2784,3296,1849,2340
SMCHD1,2508,4005,2479,3296
MYOM1,3097,3129,569,214
MYL12A,103,246,92,144
CEP76,0,0,0,0
ST8SIA5,88,134,111,43
CEP192,2289,3072,2135,2690
RNMT,525,687,473,574
SMAD7,271,332,250,258
LIPG,428,521,163,200
LAMA1,332,315,508,132
RNF125,511,516,121,42
ANKRD12,4133,5904,2836,4372
NOL4,7107,10644,812,308
POLI,369,496,278,392
MIB1,3369,4656,2674,3569
RBBP8,513,1114,638,849
RIOK3,138,256,103,183
TTR,323,368,73,24
B4GALT6,1088,1572,671,950
MYL12B,292,523,221,417
KDSR,224,321,219,310
VPS4B,190,353,183,291
ONECUT2,245,376,187,163
SLC66A2,354,345,338,388
PSMG2,707,697,450,516
TWSG1,2133,2602,1526,2155
ZNF236,1651,1791,1394,1590
NFATC1,285,268,599,403
ENOSF1,480,654,396,491
EMILIN2,306,367,60,24
SYT4,8,21,12,6
SLC14A2,463,1325,714,173
CNDP2,87,140,82,78
CTIF,2845,3073,2460,2595
MRO,120,145,38,17
MBD2,804,1201,643,1052
IER3IP1,0,0,1,0
NAPG,477,652,400,500
SPIRE1,6305,8018,4216,6377
RAX,8,9,6,2
NARS1,62,128,74,102
GRP,10,20,20,5
RELCH,1697,2717,1181,1926
HRH4,60,104,36,19
TMEM241,1954,2352,801,1053
KCTD1,2329,3194,966,1393
CABLES1,1469,1554,211,412
DSC2,544,753,276,511
DSG3,169,414,119,279
RNF138,392,560,335,413
ELP2,371,500,340,436
DSG1,630,711,105,31
DSC3,663,1159,264,661
DSC1,567,816,145,76
DTNA,6447,9173,1265,1351
FHOD3,9403,11359,7075,10073
TPGS2,343,479,357,426
SS18,836,1238,658,926
TAF4B,2578,3097,1464,2119
AFG3L2,532,616,436,667
PRELID3A,469,405,304,349
IMPA2,845,856,608,749
GNAL,1365,2026,555,216
SLC39A6,199,247,140,190
RPRD1A,1115,1355,758,1048
C18orf21,36,88,38,46
GALNT1,2047,2779,1526,2122
ASXL3,2881,4901,406,147
ADCYAP1,14,13,19,2
MEP1B,388,418,42,21
SLC25A52,9,7,2,0
GAREM1,3439,4832,2385,3309
ESCO1,1490,1850,1088,1531
OSBPL1A,3372,4069,2408,3171
GATA6,348,380,345,353
GREB1L,7551,8995,1121,598
RMC1,195,256,133,175
NPC1,323,480,256,376
SLC14A1,356,148,38,19
ARK2C,812,719,186,78
DYM,6655,8265,4613,6607
MAPK4,311,520,255,96
ELAC1,0,0,0,0
MBD1,54,103,64,86
SMAD4,239,417,209,297
TNFRSF11A,581,674,129,80
ZCCHC2,443,842,487,610
FBXO15,138,136,119,40
CBLN2,209,256,356,107
PMAIP1,26,52,26,36
TXNL4A,283,330,181,180
KIAA1328,5068,6211,3444,4335
CCDC102B,2571,2470,704,157
CD226,1121,1235,1053,1247
CNDP1,207,188,62,22
RIT2,435,553,669,199
SETBP1,2738,1264,738,206
EPG5,1537,1754,937,1209
PSTPIP2,1113,1232,409,234
ATP5F1A,161,193,74,111
HAUS1,214,198,187,196
ARK2N,1427,1838,967,1487
TRAPPC8,1175,1651,948,1240
INO80C,0,0,0,0
CABYR,228,245,226,221
IMPACT,253,322,211,283
ANKRD29,669,795,306,247
CHST9,4073,6384,491,153
PSMA8,531,637,95,45
L3MBTL4,958,1018,1431,336
CXXC1,19,8,15,21
SKA1,215,239,214,201
PPP4R1,903,1936,866,1445
APCDD1,86,76,105,31
PIEZO2,4614,6649,1482,455
MPPE1,329,353,256,350
ABHD3,1411,1661,975,1119
COLEC12,451,649,520,169
NETO1,146,199,217,58
CYB5A,671,858,91,157
ATP9B,3469,3815,2923,3546
SERPINB7,947,1493,431,615
SERPINB8,555,699,231,242
TMX3,329,612,367,398
CCDC68,861,1126,527,625
SEC11C,156,217,150,174
CPLX4,183,213,55,22
GALR1,79,103,48,7
MC4R,30,17,2,0
SERPINB12,462,624,40,62
C18orf54,378,452,306,371
CCDC178,9772,15487,1063,366
MAPRE2,2539,3176,1168,1508
SNRPD1,309,415,277,338
LOXHD1,180,202,222,72
KATNAL2,252,283,177,84
HDHD2,258,312,268,306
MYO5B,3909,4936,3041,2622
ACAA2,201,246,117,103
TTC39C,1922,2740,1155,1812
TXNDC2,84,92,11,9
RAB31,4721,5981,3088,4440
MTCL1,2838,3029,2375,2800
LDLRAD4,1208,1598,1216,349
CDH2,4038,6324,1507,3589
DLGAP1,13906,15473,3301,1203
SOCS6,647,997,531,807
DSEL,109,134,48,28
BCL2,2268,2548,362,336
AQP4,70,210,30,13
MALT1,949,1319,812,1143
CFAP53,441,477,309,338
ZNF24,63,147,72,84
TUBB8B,5,2,4,2
PTPRM,1717,1750,2784,705
STARD6,481,572,84,45
DSG4,660,709,88,53
ZNF519,559,577,431,512
PTPN2,2191,3386,1701,2549
SMAD2,1580,2426,1237,1752
TUBB6,278,329,235,267
YES1,2565,2871,1739,2527
MC5R,4,5,3,2
CIDEA,202,229,58,22
RTTN,2809,3379,2218,2734
MEX3C,265,488,253,369
RNF152,1155,1192,298,530
TYMS,128,107,90,96
CETN1,7,3,7,1
FAM210A,1591,2232,1136,1614
TGIF1,1209,1380,364,229
ST8SIA3,12,27,21,14
C18orf32,43,40,28,38
NDUFV2,596,1052,498,871
PARD6G,1010,736,728,1026
KCNG2,160,220,128,50
DYNAP,181,238,22,6
TSHZ1,881,926,602,759
PTGR3,129,149,97,136
ANKRD30B,215,176,254,59
ANKRD62,393,748,120,45
POTEC,64,29,34,16
CCBE1,3756,3795,2952,2032
ZBTB7C,2986,1992,500,181
MC2R,58,61,94,20
ZNF396,95,85,25,4
ZNF397,77,110,59,69
ZSCAN30,336,406,183,250
DCC,1614,1983,2067,508
DIPK1C,36,24,28,17
TCF4,6223,5898,2056,1937
SIGLEC15,0,0,0,0
PIGN,2410,3199,1727,2305
SERPINB2,131,189,66,110
SERPINB13,132,248,94,170
KLHL14,1601,2283,211,83
MBP,1236,1604,962,1270
ZBTB14,87,127,91,97
ZNF521,335,435,581,229
ALPK2,1849,2223,167,181
SMIM21,14,30,28,13
C18orf63,688,950,85,68
DOK6,611,601,857,236
SERPINB11,350,417,31,11
SERPINB4,93,138,7,9
SERPINB5,175,211,83,179
ELOA2,0,0,0,0
RAB12,519,826,464,660
LRRC30,2,2,2,0
TMEM200C,23,44,50,12
CTAGE1,82,108,4,7
ZNF407,6924,8851,5601,7139
RPL17-C18orf32,4,8,2,8
SKOR2,42,55,77,22
HMSD,166,224,122,106
HSBP1L1,22,32,17,30
BOD1L2,5,4,4,4
AKAIN1,106,151,176,42
SLC35G4,0,1,2,1
SERPINB10,336,385,117,77
CHMP1B,0,0,0,0
SALL3,39,82,28,13
RPL17,0,0,0,0
ENSG00000266997,94,85,91,83
ENSG00000267127,183,133,84,43
ENSG00000267140,166,160,11,10
ENSG00000267228,8,9,7,5
ENSG00000267699,388,407,203,184
ENSG00000289724,80,93,39,10
HSPB6,16,12,15,11
ARHGAP33,68,79,135,107
UPF1,270,325,357,353
SPPL2B,102,65,152,97
REX1BD,32,33,19,25
CRLF1,37,24,25,7
TBXA2R,22,35,22,11
LGALS14,70,187,8,3
PAF1,29,37,32,38
MARK4,608,508,616,564
CCDC124,115,118,88,82
CEACAM21,88,91,107,32
TRAPPC6A,140,112,63,31
MATK,57,51,39,11
CEACAM7,36,25,43,9
MPND,175,113,130,92
PGLYRP1,18,13,9,8
NFIX,1496,1612,1187,1162
GIPR,125,139,103,66
FUZ,64,59,25,12
APBA3,106,100,101,96
AKAP8L,534,580,422,479
PTBP1,52,78,64,97
DPF1,136,107,128,107
PLAUR,239,243,311,193
WIZ,150,136,150,125
QPCTL,131,102,110,82
PPP5C,648,686,567,552
ZBTB32,45,38,43,21
TYROBP,24,15,7,0
ERCC1,843,972,309,360
CD22,54,69,44,13
PSMC4,78,91,57,77
ZNF582,18,16,44,14
SLC7A9,120,112,84,55
NLRP2,232,236,213,238
EHD2,296,363,189,239
POU2F2,748,1087,150,64
RANBP3,779,853,761,786
PNPLA6,209,151,212,152
MRI1,111,94,87,107
PNKP,46,73,45,46
BEST2,7,23,13,8
AP2S1,179,143,115,117
HOMER3,50,64,48,59
USE1,54,33,29,34
GNA15,336,401,259,306
CREB3L3,32,28,23,6
ZNF112,71,63,48,51
POLD1,322,258,331,212
SLC6A16,164,149,94,30
BICRA,1720,1856,1289,1430
SPHK2,167,116,91,92
RPL18,18,46,28,52
CA11,30,26,7,9
ISOC2,100,92,75,52
U2AF2,135,177,151,178
EPN1,265,194,265,272
MED29,121,138,74,67
BORCS8-MEF2B,0,0,0,0
RFXANK,82,63,60,55
TMEM161A,270,239,218,192
LPAR2,46,51,32,39
SUGP2,399,344,425,391
CNN2,41,81,67,81
ABCA7,218,188,219,141
SBNO2,395,531,514,591
HMG20B,39,39,29,45
AP3D1,390,345,394,412
WDR18,75,50,82,57
TLE2,176,150,59,34
PDE4A,172,185,94,41
ELAVL1,581,773,507,662
SIRT2,324,252,226,202
BCL3,94,134,66,146
FGF22,17,10,23,8
FSTL3,34,58,20,28
RNF126,90,106,94,107
TCF3,322,305,427,336
DAZAP1,166,234,242,262
MBD3,20,13,30,18
PRKACA,361,347,258,281
ADGRL1,158,117,227,88
TMEM38A,249,253,129,198
AP1M1,530,424,464,432
PVR,204,247,172,197
XRCC1,107,72,119,87
NOTCH3,173,203,191,163
TEAD2,70,76,112,58
MYDGF,76,102,124,89
ANO8,99,84,113,100
WDR62,665,493,688,549
GPATCH1,722,706,489,604
ICAM3,28,16,13,6
CAMSAP3,122,118,158,105
XAB2,70,64,62,70
ARHGEF1,192,178,173,185
STXBP2,8,1,7,1
MAP2K7,94,86,91,72
NMRK2,21,12,20,7
SNRPA,101,133,96,133
EXOSC5,0,0,0,0
SIRT6,70,57,46,79
REXO1,323,242,310,304
CEACAM1,278,110,72,64
CIC,206,331,183,170
LIPE,267,240,130,70
PAFAH1B3,74,59,50,53
DNM2,1568,1522,1301,1594
KEAP1,156,183,119,153
PTPRH,249,272,215,102
RDH8,24,37,6,10
COL5A3,85,97,141,54
ZNF506,316,304,298,262
SLC27A5,55,59,53,37
ZNF324,54,60,31,41
ZNF671,0,0,0,0
ZNF416,75,93,74,88
ZNF586,710,821,453,630
ZNF446,44,44,42,32
ZNF264,450,499,401,490
RPS5,42,64,47,76
CHERP,0,0,0,0
ITPKC,230,219,119,186
CEACAM6,40,29,39,24
MYBPC2,46,52,83,23
PPP1R15A,9,21,10,32
HSD17B14,195,136,145,75
FTL,6,21,2,14
BAX,71,55,57,80
RFX2,2127,2378,1647,2067
SULT2B1,515,509,141,86
CNOT3,68,117,100,100
GP6,418,289,328,313
KHSRP,44,72,57,81
GNA11,306,221,248,203
FXYD5,149,183,154,203
ZNF302,119,151,91,122
GRAMD1A,149,191,221,98
FXYD3,0,0,0,1
GMIP,135,97,136,125
ANKRD24,83,97,68,26
LTBP4,254,325,170,170
BLVRB,233,251,178,191
ICAM1,157,111,165,143
STRN4,223,244,216,264
FLT3LG,0,0,0,0
CD209,6,0,3,1
CERS4,572,366,263,455
MCOLN1,98,73,116,95
PLEKHG2,99,97,151,109
DLL3,18,17,21,9
NAT14,26,40,18,26
OR1I1,18,17,29,10
DHPS,0,1,0,0
HOOK2,101,82,90,116
IL11,41,38,25,27
SMIM24,4,13,10,5
IL12RB1,208,166,65,36
TMED1,31,40,23,29
MAST3,482,399,391,356
MZF1,73,74,97,94
OCEL1,27,33,20,11
MYO9B,1931,1797,1597,1683
KCNK6,144,146,119,124
CATSPERG,212,161,116,73
PSMD8,64,87,84,74
EFNA2,20,31,21,10
CIRBP,116,129,28,58
ATP5F1D,32,35,26,23
CBARP,36,52,58,50
HNRNPM,471,631,408,658
MARCHF2,352,180,129,72
NDUFB7,62,61,66,46
TECR,58,108,60,48
TIMM13,4,12,5,10
CDC34,82,67,71,58
MISP,162,133,86,116
POLR2E,59,43,64,45
POLRMT,153,90,124,94
HCN2,66,62,68,43
IZUMO4,6,8,14,11
GADD45B,2,12,3,12
PALM,80,79,66,28
MADCAM1,64,55,49,21
MKNK2,50,117,63,118
ACP5,56,43,24,19
MAN2B1,148,116,152,151
KCNN4,182,163,168,135
TULP2,195,142,44,17
NUCB1,227,235,202,207
DHDH,139,110,88,91
GYS1,223,228,232,224
MAP4K1,89,121,45,32
CGB2,0,0,0,0
ECH1,14,7,10,16
HNRNPL,53,100,47,70
NFKBIB,168,163,90,102
LHB,4,2,5,3
CGB3,0,0,0,0
TUBB4A,18,12,9,5
SARS2,0,0,1,2
KCNA7,14,6,9,6
SNRNP70,119,185,135,194
CLPTM1,434,421,383,352
RELB,446,366,351,382
CLASRP,210,262,229,269
LIN7B,67,51,11,13
PPP1R37,825,823,716,725
FCGRT,108,69,90,37
PIH1D1,48,45,46,43
CKM,35,39,22,12
ARHGEF18,1475,1392,1141,1217
PPP1R13L,276,289,168,227
PEX11G,166,200,67,42
ERCC2,174,125,179,155
DOT1L,624,612,632,673
PLEKHJ1,31,35,26,30
SLC17A7,18,22,26,11
RNASEH2A,75,83,89,80
KLC3,75,59,76,41
CD37,6,9,9,1
SF3A2,116,128,114,139
AMH,10,4,16,3
DKKL1,33,28,24,12
LYL1,33,46,21,4
OAZ1,0,0,0,0
TRMT1,107,104,105,84
STX10,77,62,58,71
RETN,0,2,1,1
FCER2,22,14,21,7
DMPK,54,64,77,65
CLEC4M,8,6,16,4
RSPH6A,171,136,49,14
TBC1D17,79,71,48,88
IL4I1,221,215,72,19
TLE6,65,60,30,9
YJU2B,395,329,286,247
PTOV1,47,89,84,77
TLE5,73,101,58,122
NOVA2,96,87,86,35
SGTA,269,279,288,283
LILRB1,27,30,47,15
MED25,243,175,191,203
LILRA1,22,17,25,7
SNAPC2,14,20,14,17
C19orf53,17,39,34,41
TIMM44,111,150,118,121
CCDC61,279,248,266,195
IL27RA,269,206,113,88
ASF1B,256,205,255,180
TNNT1,66,53,154,54
VRK3,494,572,487,563
FAM32A,50,57,45,59
PPP6R1,271,266,294,309
C19orf44,0,0,0,0
MED26,0,0,0,0
OLFM2,251,225,216,91
RASAL3,30,28,18,15
AKAP8,159,198,179,189
EPHX3,92,58,31,22
ILVBL,69,70,75,68
ZNF419,0,0,0,0
SYDE1,61,44,55,42
CASP14,14,7,31,5
SLC1A6,132,116,132,48
AURKC,30,17,16,11
POP4,112,97,103,93
CCNE1,196,164,184,146
URI1,2351,3429,1855,2789
PDCD5,57,103,71,77
ANKRD27,874,832,782,857
RPS16,13,39,18,33
TIMM50,125,95,109,97
LGALS13,10,11,18,1
FBL,133,174,99,164
DYRK1B,30,54,73,48
CLC,26,67,17,9
CCNP,8,16,5,4
GPI,149,227,249,265
AKT2,731,674,650,668
PLD3,355,287,375,300
PRX,122,99,50,23
PIAS4,298,271,306,307
NUMBL,292,247,233,230
EBI3,19,20,17,4
YJU2,154,133,126,163
SHD,25,26,15,13
TBCB,102,104,111,91
FSD1,34,57,30,17
POLR2I,12,10,6,6
OVOL3,16,31,19,26
CLIP3,277,194,220,156
ZFR2,117,94,119,52
SLC1A5,57,126,37,141
PRKD2,286,366,204,312
TJP3,277,195,94,44
APLP1,36,16,23,10
CACTIN,123,107,141,115
CCDC9,135,140,107,128
HNRNPUL1,235,378,263,312
FZR1,283,293,346,280
BBC3,86,114,45,60
TGFB1,258,181,219,302
DMAC2,94,72,74,87
CEACAM4,15,13,14,6
PLIN3,314,217,251,224
MYH14,292,219,374,144
MRPL4,64,84,43,71
SIGLEC8,16,7,11,2
CD79A,19,11,5,2
LIM2,12,13,17,7
ICAM4,28,15,5,8
RPS19,41,67,71,85
NOP53,65,76,55,79
NKG7,4,3,0,0
ICAM5,38,35,58,34
ETFB,49,60,64,71
CD33,33,27,53,4
CEACAM5,0,0,0,0
CRX,55,31,60,27
BABAM1,0,0,0,0
TYK2,236,202,230,220
SULT2A1,21,29,39,9
CDC37,93,119,121,104
NAPA,317,220,283,264
RABAC1,5,2,1,2
ATP1A3,1,0,0,0
MEIS3,31,32,25,9
PTPRS,297,242,276,84
CNFN,10,7,4,2
ZNRF4,2,2,4,0
MEGF8,671,509,322,251
KDELR1,57,91,61,75
CYTH2,70,61,61,39
GRWD1,58,73,58,64
GRIN2D,321,270,130,63
SYNGR4,56,64,31,15
CLEC11A,3,3,5,2
ODAD1,95,125,40,13
CARD8,1055,941,783,833
LIG1,731,624,736,622
SIGLEC6,25,15,41,9
ZNF175,33,35,68,10
PLA2G4C,333,238,335,162
CABP5,47,30,44,12
HAS1,10,12,57,14
RAB3D,134,68,107,135
DBP,59,100,27,39
TMEM205,0,0,0,0
CAPS,9,7,13,8
PLPPR2,40,32,81,22
FAM83E,45,57,56,27
RASIP1,165,165,95,115
SPMAP2,29,36,32,6
FGF21,39,37,11,6
BCAT2,193,183,185,183
MIER2,367,420,386,403
PLEKHA4,388,306,339,307
PPP2R1A,348,460,375,367
TNPO2,191,159,164,182
WDR83OS,0,0,0,0
CACNG7,51,50,71,20
GCDH,79,60,69,62
LILRB5,12,13,7,4
KLF1,14,8,1,1
DNASE2,90,54,46,53
MAST1,121,154,122,43
LENG1,32,37,26,29
PRPF31,90,69,82,68
TFPT,53,51,58,51
JAK3,66,80,29,30
RPL18A,30,53,15,32
SLC5A5,51,38,43,14
KCNN1,117,125,69,37
ARRDC2,118,97,90,84
PIK3R2,0,0,0,0
RAB3A,62,54,74,63
PDE4C,72,84,59,35
ISYNA1,24,15,8,2
ELL,1214,1189,975,1034
CRTC1,1072,843,533,371
COMP,6,11,15,8
UPK1A,14,14,20,14
COPE,66,31,57,47
DDX49,0,0,0,0
ETV2,6,9,1,2
ATP4A,27,28,37,16
ARMC6,354,291,345,309
TMEM147,14,20,9,19
GAPDHS,50,78,92,60
MAG,141,124,59,7
TMEM59L,22,18,27,8
HAMP,24,8,7,3
USF2,90,72,77,77
LSR,127,175,135,163
KXD1,97,80,76,107
FKBP8,103,101,88,114
SUGP1,484,409,415,456
HPN,113,114,29,14
ZNF14,141,125,95,105
SCN1B,28,32,45,9
PBX4,1126,1072,337,486
ERF,0,0,0,0
GSK3A,19,19,17,16
ATP13A1,79,107,101,98
ZNF574,123,154,43,68
GRIK5,529,543,161,83
SIPA1L3,6125,6295,4302,5003
ZNF85,78,67,116,20
ETHE1,310,346,234,274
CADM4,77,77,46,22
SMG9,290,333,297,266
UBE2S,38,29,32,30
RPL28,72,83,78,60
REEP6,22,31,12,8
PCSK4,18,18,20,8
APC2,28,16,29,6
RPS15,2,14,5,11
NDUFS7,79,82,100,104
KISS1R,0,5,2,1
ARID3A,336,373,315,330
GRIN3B,16,21,32,15
POLR1G,0,3,2,2
STK11,242,280,191,220
ZNF541,250,263,124,62
SLC8A2,77,111,88,38
KPTN,78,56,65,53
ZNF430,999,1051,618,890
C19orf25,63,58,49,57
ZBTB45,47,55,27,34
ZFP30,90,75,142,38
CEP89,1688,1589,1504,1669
TSHZ3,94,111,241,68
ZNF549,95,67,64,72
A1BG,22,15,22,15
ZSCAN18,59,52,79,23
ZNF211,249,321,133,221
DDX39A,90,117,91,107
PKN1,454,382,75,42
TRIR,33,66,32,36
ADGRE5,337,251,231,253
WDR83,0,0,0,0
GIPC1,205,161,147,156
B9D2,0,0,0,0
COQ8B,356,313,254,261
PEPD,1034,773,961,794
CHST8,252,237,331,110
HIF3A,213,185,94,33
ZNF576,0,0,0,0
IRGC,23,24,6,3
ZNF45,319,409,268,350
LYPD3,44,49,12,33
PSG8,390,347,41,17
CEACAM8,35,27,37,8
KIR2DL1,29,21,39,11
PPP1R12C,303,247,300,263
MBOAT7,112,136,145,133
SLC25A23,168,164,167,78
PSPN,18,9,32,18
GTF2F1,102,101,75,113
ALKBH7,12,16,7,5
CLPP,55,69,67,77
TNFSF9,25,37,29,29
CD70,47,49,21,6
C3,122,256,478,343
SH2D3A,167,175,96,174
TRIP10,74,125,62,113
GPR108,59,71,30,58
TNFSF14,78,71,27,14
FOSB,0,0,0,0
OPA3,949,907,555,575
SNRPD2,46,50,37,49
RTN2,7,8,4,4
EML2,367,434,274,364
VASP,240,218,222,213
SYMPK,320,409,311,339
S1PR4,12,3,13,2
NCLN,173,187,247,191
LRFN3,18,18,90,24
IGFLR1,0,5,2,0
CAPNS1,54,68,48,69
PDCD2L,238,248,219,216
GPR42,0,0,0,0
RBM42,52,51,49,39
KIRREL2,20,22,25,9
UBA2,426,603,383,521
FFAR2,22,13,11,6
HCST,6,8,2,3
FFAR1,14,11,12,4
COX6B1,68,71,81,80
BCL2L12,69,95,99,78
IRF3,27,38,18,25
PRMT1,55,94,65,80
RRAS,59,51,24,27
PRRG2,106,62,91,37
SCAF1,97,170,127,167
PRR12,249,270,190,268
TSKS,167,160,44,12
PRKCG,35,40,48,17
MAP2K2,205,223,295,274
ABHD8,0,2,0,0
PIN1,141,134,141,134
FBXL12,190,215,154,172
ADGRE2,132,110,253,199
SIN3B,502,482,415,502
OR7A10,10,15,23,5
SLC35E1,0,0,0,0
EPS15L1,1694,1849,1463,1596
KLF2,24,28,21,17
OR7C2,2,3,2,0
OR7C1,82,87,86,35
F2RL3,6,11,12,3
UQCR11,0,0,0,0
SMARCA4,1368,1123,1041,1183
KDM4B,2155,2148,2267,2096
TICAM1,223,201,145,193
ZNF835,20,14,21,6
ZNF780B,306,334,241,283
LRFN1,62,49,36,18
ZFP36,10,22,5,15
MRPS12,0,0,0,0
KRI1,115,141,84,113
ILF3,360,459,317,530
SLC44A2,488,572,166,178
AP1M2,149,123,101,137
CDKN2D,12,29,15,27
KLK14,16,11,13,9
SIGLEC9,16,20,25,8
KLK10,44,84,38,48
KLK8,74,102,44,62
KLF16,144,173,75,94
DOHH,129,119,117,101
MAU2,323,293,230,305
SHC2,79,53,80,28
PLPPR3,14,15,27,10
ABHD17A,58,60,49,57
SYT5,34,23,16,4
TNNI3,22,7,8,4
GAMT,10,9,33,13
DOCK6,544,414,572,539
ECSIT,299,238,264,287
LDLR,141,277,170,262
ELOF1,72,65,61,58
TSPAN16,137,104,43,24
ANGPTL8,0,0,0,0
PRKCSH,115,84,95,88
CNN1,26,32,20,5
NECTIN2,474,476,453,446
APOE,17,15,9,3
TOMM40,65,75,93,81
APOC1,19,25,4,7
FAM98C,58,51,43,74
SAFB2,218,280,245,262
RPL36,33,22,31,18
ATP8B3,86,80,59,34
GDF1,0,0,0,0
NCAN,121,67,83,36
GTPBP3,42,73,57,64
PLVAP,78,95,50,21
BST2,39,64,32,50
SLC27A1,427,334,215,181
USHBP1,107,159,13,8
COLGALT1,148,279,244,239
DDA1,109,145,91,137
MRPL34,30,44,7,16
PGLS,110,122,76,91
LSM7,0,0,0,0
ACSBG2,186,181,139,78
MLLT1,880,883,938,866
FUT5,0,12,6,4
ACTN4,845,1131,757,1127
CACNG6,33,55,48,14
FCHO1,107,134,56,17
UNC13A,152,138,162,57
MAP1S,102,119,165,120
SSBP4,118,89,69,20
GDF15,361,447,55,31
PGPEP1,635,598,209,113
IQCN,109,99,104,84
LSM4,190,211,184,134
JUND,4,10,0,3
HRC,14,10,4,5
TRPM4,694,590,504,626
ZNF557,115,139,104,106
CRB3,38,30,13,23
PAK4,823,709,663,677
CHMP2A,36,31,25,25
UBE2M,17,28,10,25
TRIM28,24,44,37,44
YIPF2,43,64,44,68
ATG4D,102,96,58,90
TMEM160,34,30,19,24
ZC3H4,531,735,536,546
NPAS1,148,99,112,54
GMFG,54,37,25,10
MAP3K10,339,258,250,210
ZNF317,407,620,341,449
PPAN,0,0,0,0
EIF3G,24,29,30,27
ANGPTL6,39,36,16,14
SHFL,50,41,39,48
DNMT1,487,524,654,529
ZNF426,199,170,100,141
ZNF331,136,95,171,35
SLC7A10,18,32,24,11
LRP3,28,20,20,8
EPS8L1,104,149,91,49
LILRB2,12,26,10,2
ZNF227,432,378,236,306
ZNF428,59,61,22,47
TEX101,447,300,37,19
CCL25,14,16,21,4
HAUS8,337,360,363,371
ADGRE3,172,171,174,59
KCNC3,31,27,42,4
NAPSA,0,0,0,0
NR1H2,60,50,53,48
LRRC4B,115,82,101,33
ZNF304,86,113,75,89
ZSCAN5A,576,558,613,499
ZNF132,17,23,18,20
USP29,32,21,23,11
RHPN2,1251,1500,871,1275
C19orf12,229,173,161,158
FAAP24,86,85,55,48
PODNL1,187,128,114,42
DNAJB1,359,423,78,125
ZSWIM4,379,341,348,323
FBXW9,68,75,96,60
RFX1,499,467,467,453
ZNF20,46,51,50,21
BRME1,420,244,201,121
DCAF15,56,52,55,50
CC2D1A,204,187,173,234
RTBDN,24,27,14,6
BTBD2,365,261,262,281
PRAM1,64,35,30,21
KMT5C,62,72,46,56
ZNF414,60,41,45,41
HSPBP1,228,168,243,217
CSNK1G2,374,307,405,393
DHX34,178,203,195,231
C5AR2,55,72,27,9
CACNA1A,1047,1086,930,331
MISP3,10,5,2,7
SAMD1,10,21,14,30
BRD4,1572,2114,1257,1676
SLC39A3,0,0,0,0
NFIC,1395,1282,1384,1135
TPGS1,88,59,64,61
PLPP2,106,159,79,104
ZIM3,20,15,22,8
FEM1A,79,83,54,76
VAV1,338,600,189,65
MVB12A,101,74,70,48
CIB3,189,172,21,14
ENSG00000141979,126,126,104,105
SH3GL1,508,646,340,455
DUS3L,30,23,19,35
DPP9,378,395,355,360
DMRTC2,10,15,11,4
CCDC97,130,166,120,136
TMEM91,239,289,181,182
ZFP14,76,69,132,28
EMP3,45,41,34,42
SAE1,1124,1155,1005,1098
NTN5,55,36,23,5
LMTK3,138,163,114,41
GEMIN7,151,158,109,137
CBLC,115,148,181,181
WTIP,242,115,141,78
ADAMTS10,55,50,38,19
MYO1F,151,128,100,35
ERVK3-1,12,15,16,10
NLRP12,32,29,82,19
CACNG8,51,27,51,13
ZNF787,327,344,377,381
TIMM29,12,18,8,19
FBN3,149,149,159,43
CARM1,921,931,584,682
EVI5L,243,275,250,208
GPR32,5,4,4,2
SIGLEC10,8,17,20,10
ACP4,4,6,5,1
KLK3,10,5,12,4
ZNF473,265,299,268,251
GARIN5A,18,13,22,2
RPS11,10,23,12,24
PTH2,0,3,5,2
ENSG00000142539,3,0,0,1
RPL13A,22,53,22,58
CTU1,115,129,87,99
NOSIP,414,366,289,295
IGLON5,31,27,47,13
RCN3,88,52,33,10
ZNF614,52,32,51,17
ZNF547,0,0,0,0
ZNF773,5,7,5,1
ZNF776,54,72,55,92
ZNF256,14,15,20,4
ZSCAN1,24,13,44,5
ZNF837,82,46,91,37
CEBPG,141,275,99,222
KCTD15,46,35,197,130
ZNF599,95,97,142,113
LGI4,191,145,44,18
FUT6,25,24,15,7
LYPD5,183,203,61,34
ZNF230,142,239,145,130
ZNF222,0,0,0,0
ZNF221,165,204,213,219
ZNF233,0,0,0,0
ZNF235,815,966,698,804
ARHGAP35,3390,4087,2286,3343
PTGIR,9,3,9,7
CALM3,75,112,94,82
CPAMD8,633,808,305,161
NR2F6,54,42,36,52
ANKLE1,20,11,15,3
CILP2,28,9,11,13
ZNF66,78,82,95,44
CLDND2,0,5,1,0
ZNF208,158,170,230,48
ZNF761,169,195,189,152
ZNF714,1026,1357,855,961
C19orf47,331,304,305,287
HIPK4,0,0,2,1
SHKBP1,166,154,157,160
