Geneid,Cal27_K36me2_WT_2,Cal27_K36me2_WT_1,Cal27_K36me2_NSD1KO_1,Cal27_K36me2_NSD1KO_2
PRKACB,6222,9546,3968,6112
PIGK,4362,6275,3082,4142
TINAGL1,46,91,104,99
AZIN2,600,910,211,159
RPS8,12,25,15,32
KIF2C,292,218,392,265
PTPRF,928,853,740,1016
BEST4,56,67,8,4
MOB3C,136,198,90,117
CYP4B1,184,99,51,15
TMEM61,108,124,26,7
DMRTB1,26,30,21,7
LMO4,231,386,230,356
SYPL2,36,29,24,9
BARHL2,18,15,8,3
MTF2,1598,2295,1201,1746
SLC44A3,1863,2124,1323,1668
IGSF3,2125,1744,965,1538
ZNF697,608,663,372,340
CTTNBP2NL,1638,2090,1168,1778
STRIP1,235,348,181,232
KCNA10,6,2,5,3
PSMA5,296,505,266,361
FNDC7,548,692,87,43
C1orf162,106,104,71,51
CD53,480,755,96,28
PROK1,21,18,12,6
CELSR2,272,276,182,242
ITGA10,280,301,62,44
GPR161,1386,1421,809,897
ALDH9A1,704,843,582,677
ATP1B1,191,420,332,461
TIPRL,499,728,359,615
NME7,7814,10770,4867,6942
POGK,114,183,153,163
MPC2,676,974,447,696
CREG1,351,501,230,254
DCAF6,3915,5765,2726,4392
GPA33,672,872,92,32
RXRG,139,122,112,40
TBX19,1161,1522,312,513
UCK2,1904,2845,1676,2448
TMCO1,1578,1807,897,966
XCL1,161,125,58,81
XCL2,96,67,41,52
POU2F1,6723,9299,4668,6717
MAEL,1059,1721,178,60
ILDR2,1411,2438,220,79
DPT,1008,1237,85,29
MGST3,716,648,437,542
ADCY10,3079,2888,335,170
COP1,6954,9957,5971,7760
NECTIN4,332,458,120,191
UFC1,79,96,76,90
PPOX,45,51,37,59
FCGR2A,348,234,30,7
NUF2,759,947,762,833
RGS5,3616,4857,1743,1970
SDHC,974,957,714,815
PFDN2,321,431,268,330
NR1I3,35,32,26,20
USP21,44,81,42,80
F13B,977,1183,137,54
PRCC,389,532,350,536
FCRL5,101,72,110,31
METTL25B,84,105,93,86
MRPL24,66,85,54,60
PIGM,0,0,0,0
CASQ1,77,81,32,9
ISG20L2,54,82,59,80
CRABP2,68,62,36,24
HDGF,78,163,75,119
ABL2,3425,4716,2444,3618
XPR1,8573,10796,5387,7819
RGS16,33,75,26,20
TOR1AIP1,764,942,535,702
FAM163A,267,420,175,66
HMCN1,14601,16428,2300,1570
RGL1,7221,7602,1676,619
LYPLAL1,1152,2021,914,1291
LHX9,352,460,147,221
PRUNE1,424,408,331,419
RORC,169,215,113,40
TUFT1,892,936,574,779
SF3B4,16,53,18,31
ECM1,112,63,58,58
ZNF687,60,99,66,80
TARS2,197,192,140,156
CGN,555,600,273,354
SNX27,2278,2737,1657,2363
SETDB1,426,492,356,432
ADAMTSL4,69,73,75,56
MCL1,248,393,131,210
CTSK,328,302,232,272
RFX5,52,79,49,67
PI4KB,361,431,286,415
PIP5K1A,552,675,460,671
ANP32E,251,344,253,268
MINDY1,271,307,138,150
ANXA9,226,228,53,15
SELENBP1,42,42,9,9
CERS2,121,173,95,117
ENSA,403,674,311,448
SEMA6C,60,43,46,17
MRPL9,29,43,17,35
ARNT,1439,1627,986,1425
POGZ,967,1277,802,1126
C1orf56,14,28,19,6
OAZ3,107,174,32,44
HORMAD1,706,831,208,341
GOLPH3L,1395,1482,851,1242
GABPB2,1141,960,699,773
SYT14,6169,8494,915,300
KCNH1,5044,8580,1191,347
DTL,1539,2063,1674,1621
DYRK3,444,459,343,357
EIF2D,273,303,199,278
INTS7,2228,3206,1694,2398
VASH2,284,286,169,86
TAF1A,594,1055,684,835
SMYD2,1271,1416,1047,1319
SUSD4,1967,1930,719,311
DUSP10,871,1236,787,948
HHIPL2,260,480,52,25
TP53BP2,1539,2211,1223,1731
ATP8B2,133,103,202,128
FLG2,26,36,28,11
CRNN,19,28,15,7
ADAM15,50,84,85,82
JTB,0,0,0,0
RAB13,0,0,0,0
S100A8,29,29,7,2
TPM3,417,454,304,334
NUP210L,1168,1343,473,217
SNAPIN,36,37,31,35
SLC27A3,50,43,43,24
S100A7,65,53,7,2
UBAP2L,363,509,321,450
SLC39A1,1,0,0,1
HAX1,24,38,27,35
CREB3L4,0,0,0,0
EFNA3,7,11,12,5
AQP10,2,9,10,6
KCNN3,679,873,438,173
C1orf43,110,172,86,168
GATAD2B,2658,3057,2014,2657
ILF2,38,87,59,86
RIT1,114,143,104,145
INTS3,437,504,423,461
PKLR,40,28,22,5
HCN3,92,107,107,79
FLG,70,231,73,14
ACTA1,8,9,7,3
C1orf131,284,309,232,294
GALNT2,4982,6266,3980,4997
TTC13,1605,1903,1511,1729
SCCPDH,869,1077,642,907
LYST,7272,8913,4513,6323
MAP3K21,1535,1885,1170,1558
CEP170,3168,3357,2007,2600
SNAP47,620,662,683,733
SRP9,166,234,144,230
NVL,2061,2262,1466,1884
SDE2,216,344,196,291
DEGS1,181,338,172,222
FBXO28,1087,1221,742,968
ARF1,200,349,204,303
LEFTY2,96,69,10,8
CNIH4,335,483,271,435
ITPKB,2031,2029,917,1028
GUK1,67,83,82,98
CDC42BPA,10607,14584,8145,11700
CNIH3,1632,2152,369,149
C1orf35,8,29,14,14
PARP1,526,536,508,527
PSEN2,0,0,0,0
PYCR2,0,1,0,0
LBR,304,553,435,480
WNT9A,168,156,319,288
EPHX1,606,608,457,572
REN,631,943,109,33
SOX13,1023,1167,764,950
ETNK2,286,263,204,121
PPFIA4,168,228,115,72
PLEKHA6,2944,3259,1871,1660
PTPN7,120,121,35,7
SYT2,848,890,537,544
ARL8A,151,134,118,143
ZMYM4,4059,4906,3065,4182
PLCH2,112,88,275,100
FCGR1A,0,0,0,0
RGS18,1024,1449,195,92
NEK7,6089,9428,3719,6601
ATP6V1G3,734,1051,204,563
RABGAP1L,24986,27711,16760,22185
TLCD4,0,0,0,0
ASTN1,640,655,916,236
PTPN14,4512,7206,3072,5831
UHMK1,484,721,444,584
TADA1,381,491,291,350
DYNLT5,828,1072,86,32
DNAI4,3428,4336,1032,923
GGPS1,0,0,0,0
